cnt_match,cons,draw,goal,lose,place,season,team_name,win
38,54,12,41,17,17,7,Сандерленд,9
38,73,9,47,20,18,7,Уиган,9
38,73,10,43,22,19,7,Рединг,6
38,60,13,30,21,20,7,Куинз Парк Рейнджерс,4
38,37,5,102,6,1,8,Манчестер Сити,27
38,50,6,101,6,2,8,Ливерпуль,26
38,27,7,71,6,3,8,Челси,25
38,41,7,68,7,4,8,Арсенал,24
38,39,9,61,8,5,8,Эвертон,21
38,51,6,55,11,6,8,Тоттенхэм,21
38,43,7,64,12,7,8,Манчестер Юнайтед,19
38,46,11,54,12,8,8,Саутгемптон,15
38,52,11,45,14,9,8,Стоук,13
38,59,4,43,19,10,8,Ньюкасл,15
38,48,6,33,19,11,8,Кристал Пэлас,13
38,54,9,54,18,12,8,Суонси,11
38,51,7,40,20,13,8,Вест Хэм,11
38,60,8,41,20,14,8,Сандерленд,10
38,61,8,39,20,15,8,Астон Вилла,10
38,53,7,38,21,16,8,Халл,10
38,59,15,43,16,17,8,Вест Бромвич,7
38,62,9,28,21,18,8,Норвич,8
38,85,5,40,24,19,8,Фулхэм,9
38,74,9,32,22,20,8,Кардифф,7
38,32,9,73,3,1,9,Челси,26
38,38,7,83,7,2,9,Манчестер Сити,24
38,36,9,71,7,3,9,Арсенал,22
38,37,10,62,8,4,9,Манчестер Юнайтед,20
38,53,7,58,12,5,9,Тоттенхэм,19
38,48,8,52,12,6,9,Ливерпуль,18
38,33,6,54,14,7,9,Саутгемптон,18
38,49,8,46,14,8,9,Суонси,16
38,45,9,48,14,9,9,Стоук,15
38,51,9,47,16,10,9,Кристал Пэлас,13
38,50,11,48,15,11,9,Эвертон,12
38,47,11,44,15,12,9,Вест Хэм,12
38,51,11,38,16,13,9,Вест Бромвич,11
38,55,8,46,19,14,9,Лестер,11
38,63,9,40,19,15,9,Ньюкасл,10
38,53,17,31,14,16,9,Сандерленд,7
38,57,8,31,20,17,9,Астон Вилла,10
38,51,11,33,19,18,9,Халл,8
38,53,12,28,19,19,9,Бернли,7
38,73,6,42,24,20,9,Куинз Парк Рейнджерс,8
38,36,12,68,3,1,10,Лестер,23
38,36,11,65,7,2,10,Арсенал,20
38,35,13,69,6,3,10,Тоттенхэм,19
38,41,9,71,10,4,10,Манчестер Сити,19
38,35,9,49,10,5,10,Манчестер Юнайтед,19
38,41,9,59,11,6,10,Саутгемптон,18
38,51,14,65,8,7,10,Вест Хэм,16
38,50,12,63,10,8,10,Ливерпуль,16
38,55,9,41,15,9,10,Стоук,14
38,53,14,59,12,10,10,Челси,12
38,55,14,59,13,11,10,Эвертон,11
38,52,11,42,15,12,10,Суонси,12
38,50,9,40,17,13,10,Уотфорд,12
38,48,13,34,15,14,10,Вест Бромвич,10
38,51,9,39,18,15,10,Кристал Пэлас,11
38,67,9,45,18,16,10,Борнмут,11
38,62,12,48,17,17,10,Сандерленд,9
38,65,10,44,19,18,10,Ньюкасл,9
38,67,7,39,22,19,10,Норвич,9
38,76,8,27,27,20,10,Астон Вилла,3
38,33,3,85,5,1,11,Челси,30
38,26,8,86,4,2,11,Тоттенхэм,26
38,39,9,80,6,3,11,Манчестер Сити,23
38,42,10,78,6,4,11,Ливерпуль,22
38,44,6,77,9,5,11,Арсенал,23
38,29,15,54,5,6,11,Манчестер Юнайтед,18
38,44,10,62,11,7,11,Эвертон,17
38,48,10,41,16,8,11,Саутгемптон,12
38,67,10,55,16,9,11,Борнмут,12
38,51,9,43,17,10,11,Вест Бромвич,12
38,64,9,47,17,11,11,Вест Хэм,12
38,63,8,48,18,12,11,Лестер,12
38,56,11,41,16,13,11,Стоук,11
38,63,5,50,21,14,11,Кристал Пэлас,12
38,70,5,45,21,15,11,Суонси,12
38,55,7,39,20,16,11,Бернли,11
38,68,7,40,20,17,11,Уотфорд,11
38,80,7,37,22,18,11,Халл,9
38,53,13,27,20,19,11,Мидлсбро,5
38,69,6,29,26,20,11,Сандерленд,6
31,21,3,88,1,1,12,Манчестер Сити,27
31,23,5,60,5,2,12,Манчестер Юнайтед,21
32,35,9,75,4,3,12,Ливерпуль,19
31,26,7,62,5,4,12,Тоттенхэм,19
31,30,5,53,9,5,12,Челси,17
31,41,6,58,10,6,12,Арсенал,15
31,27,10,29,9,7,12,Бернли,12
31,43,10,47,10,8,12,Лестер,11
32,53,7,38,14,9,12,Эвертон,11
32,51,10,39,13,10,12,Борнмут,9
32,57,7,41,15,11,12,Уотфорд,10
31,40,8,31,14,12,12,Ньюкасл,9
31,42,10,28,13,13,12,Брайтон,8
31,57,9,39,14,14,12,Вест Хэм,8
31,44,7,25,16,15,12,Суонси,8
32,53,7,25,17,16,12,Хаддерсфилд,8
32,50,9,31,16,17,12,Кристал Пэлас,7
31,47,13,29,13,18,12,Саутгемптон,5
32,61,9,29,17,19,12,Стоук,6
32,51,11,25,18,20,12,Вест Бромвич,3
